locale,code,name,descr
de,AUD,Australischer Dollar,Australischer Dollar
de,BRL,Brasilianischer Real,Brasilianischer Real
de,CAD,Kanadischer Dollar,Kanadischer Dollar
de,CHF,Schweizer Franken,Schweizer Franken
de,CNY,Chinesischer Yuan,Chinesischer Yuan
de,EUR,Euro,Euro
de,GBP,Pfund Sterling,Britisches Pfund Sterling
de,INR,Indische Rupie,Indische Rupie
de,JPY,Japanischer Yen,Japanischer Yen
de,MXN,Mexikanischer Peso,Mexikanischer Peso
de,NOK,Norwegische Krone,Norwegische Krone
de,RUB,Russischer Rubel,Russischer Rubel
de,SEK,Schwedische Krone,Schwedische Krone
de,USD,US-Dollar,US-Dollar
es,AUD,Dólar Australiano,Dólar Australiano
es,BRL,Real Brasileño,Real Brasileño
es,CAD,Dólar Canadiense,Dólar Canadiense
es,CHF,Franco Suizo,Franco Suizo
es,CNY,Yuan Chino,Yuan Chino
es,EUR,Euro,Euro
es,GBP,Libra Esterlina,Libra Esterlina Británica
es,INR,Rupia India,Rupia India
es,JPY,Yen Japonés,Yen Japonés
es,MXN,Peso Mexicano,Peso Mexicano
es,NOK,Corona Noruega,Corona Noruega
es,RUB,Rublo Ruso,Rublo Ruso
es,SEK,Corona Sueca,Corona Sueca
es,USD,Dólar Estadounidense,Dólar de los Estados Unidos
fr,AUD,Dollar Australien,Dollar Australien
fr,BRL,Réal Brésilien,Réal Brésilien
fr,CAD,Dollar Canadien,Dollar Canadien
fr,CHF,Franc Suisse,Franc Suisse
fr,CNY,Yuan Chinois,Yuan Chinois
fr,EUR,Euro,Euro
fr,GBP,Livre Sterling,Livre Sterling Britannique
fr,INR,Roupie Indienne,Roupie Indienne
fr,JPY,Yen Japonais,Yen Japonais
fr,MXN,Peso Mexicain,Peso Mexicain
fr,NOK,Couronne Norvégienne,Couronne Norvégienne
fr,RUB,Rouble Russe,Rouble Russe
fr,SEK,Couronne Suédoise,Couronne Suédoise
fr,USD,Dollar Américain,Dollar des États-Unis
